title,level,language,subtitles,price,n_enrolled
MalariaX: Defeating Malaria from the Genes to the Globe,Intermediate,English,"English, Français",49,57208.0
Entrepreneurship in Emerging Economies,Introductory,English,English,125,20502.0
JavaScript Introduction,Introductory,English,English,199,104108.0
People Management,Introductory,English,"English, हिन्दी",150,145049.0
Using Email for Networking in English,Introductory,English,English,149,91406.0
Databases: Relational Databases and SQL,Introductory,English,English,50,37501.0
C Programming: Getting Started,Introductory,English,English,49,103704.0
Supply Chain Analytics,Introductory,English,English,199,29101.0
Programming for the Web with JavaScript,Intermediate,English,English,149,45867.0
Introduction to Digital Humanities,Introductory,English,English,99,47549.0
Upper-Intermediate English: Business and Industry,Intermediate,English,English,50,69104.0
EmSAT English Preparation - Level 1,Introductory,English,English,49,56040.0
Empathy and Emotional Intelligence at Work,Introductory,English,English,199,22969.0
Design Thinking and Creativity for Innovation,Intermediate,English,English,5,50949.0
China and Communism,Introductory,English,"English, 中文",139,301585.0
Mandarin Chinese Level 1,Introductory,English,English,149,31868.0
Introduction to Biology - The Secret of Life,Introductory,English,"English, 中文",150,67687.0
Photoshop: una herramienta para presentaciones innovadoras,Introductory,Español,Español,19,37452.0
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Introductory,English,English,99,73208.0
生活英语听说 | Conversational English Skills,Introductory,English,English,49,18883.0
Shakespeare’s Othello: The Moor,Introductory,English,English,49,58532.0
Basic Spanish 2: One Step Further,Introductory,English,"English, Español",50,54805.0
Financial Market Analysis,Intermediate,English,English,25,306286.0
CS50's Computer Science for Business Professionals,Introductory,English,English,90,27968.0
Gobierno Digital,Introductory,Español,Español,25,79365.0
Upper-Intermediate English: Business and Globalization,Intermediate,English,English,50,265104.0
The Opioid Crisis in America,Introductory,English,English,99,35504.0
Gestión de Proyectos de Desarrollo,Introductory,Español,Español,49,64261.0
Statistical Learning,Introductory,English,English,50,17581.0
Introduction to Social Psychology,Introductory,English,English,99,126093.0
Artificial Intelligence (AI),Advanced,English,English,249,80010.0
American Government: Constitutional Foundations,Introductory,English,English,49,24618.0
Introducción a la inversión bursátil,Introductory,Español,Español,50,169126.0
Japanese Books: From Manuscript to Print,Introductory,English,English,100,215059.0
Operations Management,Intermediate,English,"English, हिन्दी",150,37426.0
Marketing Management,Intermediate,English,"English, हिन्दी",150,64142.0
Marketing enfocado en la estrategia de servicios,Introductory,Español,"English, Español",119,20163.0
Introduction to Marketing,Introductory,English,English,150,16470.0
Programming Basics,Introductory,English,English,149,54787.0
HTML5 Coding Essentials and Best Practices,Intermediate,English,English,199,38331.0
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,Introductory,English,English,49,48105.0
Cell Biology: Mitochondria,Introductory,English,English,99,50030.0
"Algorithms: Design and Analysis, Part 1",Intermediate,English,English,149,37126.0
Introducción al Office 365,Introductory,Español,Español,75,42101.0
Creative Thinking: Techniques and Tools for Success,Introductory,English,English,49,24414.0
Upper-Intermediate English: Business and Technology,Intermediate,English,English,50,68422.0
Shakespeare's Hamlet: The Ghost,Introductory,English,English,49,208582.0
FlashDiet: Aprende a comer sano,Introductory,Español,Español,50,66771.0
CS50's Understanding Technology,Introductory,English,English,90,57234.0
Introduction to Aerospace Structures and Materials,Introductory,English,English,50,48049.0
Visualizing Data with Python,Intermediate,English,English,39,24259.0
Success: Practical Thinking Skills,Introductory,English,English,50,55293.0
